_id,Lokasi,Kecamatan,Kelurahan,Rayon,Luas genangan,Tinggi genangan,Lama genangan,Skor Luas Genangan,Skor Tinggi Genangan,Skor Lama Genangan
1,Jl. Pakis Agosari (Yamaha),Dukuh Pakis,Dukuh Pakis,Rayon Wiyung,10.8,10,40,100,25,25
2,Jl. Mayjend Sungkono - Darmo Park I,Dukuh Pakis,Dukuh Pakis,Rayon Wiyung,0.816236,25,58,75,50,25
3,Jl. Mayjend Sungkono (Pom Bensin),Dukuh Pakis,Dukuh Pakis,Rayon Wiyung,0.509047,15,16,75,50,0
4,Kp. Kebraon,Karangpilang,Warugunung,Rayon Wiyung,0.785111,10,40,75,25,25
5,Jl. Lakar Santri RW.001,Lakarsantri,Bangkingan,Rayon Wiyung,0.749717,30,16,75,50,0
6,Lontar Lidah Kulon,Lakarsantri,Lidah Kulon,Rayon Wiyung,1.175965,4,16,75,0,0
7,Jl. Babatan Indah,Wiyung,Babatan,Rayon Wiyung,8.1,10,16,100,25,0
8,Perumahan Lembah Harapan,Lakarsantri,Lidah Wetan,Rayon Wiyung,0.182205,10,16,50,25,0
9,Jl. Simo Hilir,Sukomanunggal,Simomulyo,Rayon Tandes,0.205258,4,16,50,0,0
10,Jl. Kupang Baru,Dukuh Pakis,Dukuh Kupang,Rayon Tandes,0.258649,25,16,50,50,0
11,Kp. Babatan dan sekitarnya,Wiyung,Babatan,Rayon Wiyung,0.22065,25,16,50,50,0
12,Jl. Wiyung (Gg. DPR),Wiyung,Wiyung,Rayon Wiyung,0.1855,25,16,50,50,0
13,Jl. Hayam Wuruk,Wonokromo,Sawunggaling,Rayon Wiyung,0.394008,15,40,50,50,25
14,Jl. Adityawarman,Wonokromo,Wonokromo,Rayon Wiyung,1.120918,10,40,75,25,25
15,Jl. Jajar Tunggal,Wiyung,Jajar Tunggal,Rayon Wiyung,0.546206,50,80,75,75,50
16,Jl. H. Abdul Wahab Siamin,Dukuh Pakis,Dukuh Pakis,Rayon Wiyung,0.69076,30,50,75,50,25
17,Jl. Gajah Mada,Wonokromo,Sawunggaling,Rayon Wiyung,0.224743,25,40,50,50,25
18,Jl. Simo Rejo,Sukomanunggal,Simomulyo,Rayon Tandes,10,10,31,100,25,25
19,Jl. Simo Langit,Sukomanunggal,Simomulyo,Rayon Tandes,0.166687,10,16,50,25,0
20,Jl. Dukuh Menanggal,Gayungan,Dukuh Menanggal,Rayon Jambangan,0.308184,10,40,50,25,25
21,Jl. Bangkingan,Lakarsantri,Bangkingan,Rayon Wiyung,0.488274,15,16,50,50,0
22,Jl. Lakarsantri (Jembatan Perbatasan),Lakarsantri,Bangkingan,Rayon Wiyung,9.6,25,16,100,50,0
23,Jl. Dukuh Pakis,Dukuh Pakis,Dukuh Pakis,Rayon Wiyung,0.36091,25,31,50,50,25
24,Jl. Waru Gunung (Kedawung),Karangpilang,Warugunung,Rayon Wiyung,0.212653,25,16,50,50,0
25,Jl. Waru Gunung (Rusun),Karangpilang,Warugunung,Rayon Wiyung,0.413372,25,16,50,50,0
26,Kp. Lidah Kulon RW.005,Lakarsantri,Lidah Kulon,Rayon Wiyung,0.13233,30,16,50,50,0
27,Jl. Raya Simo Jawar,Sukomanunggal,Simomulyo,Rayon Tandes,0.762466,4,16,75,0,0
28,Jl. Suko Manunggal s/d Simo Jawar,Sukomanunggal,Simomulyo,Rayon Tandes,1.018027,4,16,75,0,0
29,Jl. Pattimura,Sukomanunggal,Sono Kwijenan,Rayon Tandes,0.156225,9,16,50,25,0
30,Jl. Satelit Selatan,Sukomanunggal,Tanjungsari,Rayon Tandes,0.237901,10,16,50,25,0
31,Jl. Satelit Indah,Sukomanunggal,Tanjungsari,Rayon Tandes,0.315189,10,16,50,25,0
32,Jl. Darmo Indah Timur (Darmo Harapan),Sukomanunggal,Tanjungsari,Rayon Tandes,2.909585,25,16,100,50,0
33,Kp. Kandangan,Benowo,Kandangan,Rayon Tandes,0.612675,15,16,75,50,0
34,Jl. Samudera,Pabean Cantikan,Bongkaran,Rayon Gubeng,0.232645,4,5,50,0,0
35,Kp. Balongsari,Tandes,Balongsari,Rayon Tandes,0.927409,9,16,75,25,0
36,Kp. Manukan Kulon,Tandes,Manukan Kulon,Rayon Tandes,0.76946,9,16,75,25,0
37,Jl. Margomulyo (Bawah Jalan Tol)),Tandes,Tandes,Rayon Tandes,1.959712,4,16,100,0,0
38,Jl. Darmo Permai Timur,Dukuh Pakis,Pradah Kali Kendal,Rayon Tandes,0.761763,15,16,75,50,0
39,Gayungsari,Gayungan,Dukuh Menanggal,Rayon Jambangan,0.226172,9,40,50,25,25
40,Jl. Tambak Mayor,Asemrowo,Asemrowo,Rayon Tandes,1.622856,10,31,100,25,25
41,Kp. Dukuh Langkir Babat Jerawat,Benowo,Babat Jerawat,Rayon Tandes,0.971342,25,31,75,50,25
42,Wisma Tengger,Benowo,Kandangan,Rayon Tandes,0.860051,10,16,75,25,0
43,Kp. Babat Jerawat,Benowo,Babat Jerawat,Rayon Tandes,1.539918,9,16,100,25,0
44,Kp. Benowo,Benowo,Benowo,Rayon Tandes,1.17728,15,16,75,50,0
45,Jl. Simpang Darmo Permai,Dukuh Pakis,Pradah Kali Kendal,Rayon Tandes,0.770196,15,16,75,50,0
46,Jl. Raya Sawo,Sambikerep,Bringin,Rayon Tandes,0.472986,15,16,50,50,0
47,Jl. Raya Bringin Indah,Sambikerep,Bringin,Rayon Tandes,0.494582,25,31,50,50,25
48,Kp.Candi Lempung,Sambikerep,Lontar,Rayon Tandes,0.555119,25,31,75,50,25
49,Kp. Simo Gunung,Sawahan,Banyuurip,Rayon Tandes,0.629668,25,16,75,50,0
50,Jl. Simo Rukun VIII,Sukomanunggal,Simomulyo,Rayon Tandes,0.152239,4,16,50,0,0
51,Jambangan,Jambangan,Jambangan,Rayon Jambangan,10,18,40,100,50,25
52,Perumahan Medokan Asri,Rungkut,Medokan Ayu,Rayon Jambangan,0.839133,4,16,75,0,0
53,Kp. Dukuh Kupang IX s/d SD Jarak,Sawahan,Pakis,Rayon Tandes,3.518957,10,16,100,25,0
54,Jl. Dukuh Kupang XX,Sawahan,Pakis,Rayon Tandes,0.216271,10,16,50,25,0
55,Kp. Pakis Tirtosari,Sawahan,Pakis,Rayon Tandes,0.241423,10,16,50,25,0
56,Jl. Raya Tengger,Sawahan,Sawahan,Rayon Tandes,0.699545,10,16,75,25,0
57,Jl. Jurang Kuping s/d Jl. Rejosari,Pakal,Benowo,Rayon Tandes,0.329893,15,16,50,50,0
58,Jl. Pakis Wetan,Sawahan,Pakis,Rayon Tandes,0.14892,15,16,50,50,0
59,Jl. Simo Gunung Gg.1,Sawahan,Banyuurip,Rayon Tandes,0.142854,10,16,50,25,0
60,Jl. Dukuh Kupang XXV,Sawahan,Pakis,Rayon Tandes,0.226555,10,16,50,25,0
61,Jl. Simo Rukun,Sukomanunggal,Simomulyo,Rayon Tandes,0.151445,9,16,50,25,0
62,"Kp. Simo Mulyo, Jl. Simo Mulyo",Sukomanunggal,Simomulyo,Rayon Tandes,0.899891,9,16,75,25,0
63,Kp. Manukan Krajan,Tandes,Manukan Kulon,Rayon Tandes,0.963129,9,31,75,25,25
64,Kp. Manukan Lor,Tandes,Manukan Kulon,Rayon Tandes,0.915953,9,16,75,25,0
65,Kp. Ngagel Tirto,Gubeng,Pucang Sewu,Rayon Jambangan,0.425176,10,31,50,25,25
66,Karah Agung,Jambangan,Karah,Rayon Jambangan,0.393857,4,16,50,0,0
67,Jl. Balongsari (Balong Sari Tama),Tandes,Balongsari,Rayon Tandes,1.103001,15,31,75,50,25
68,Exit Tol Romokalisari,Benowo,Romo Kalisari,Rayon Tandes,0.276473,10,16,50,25,0
69,Dupak Rukun,Krembangan,Dupak,Rayon Tandes,13.4,15,16,100,50,0
70,Kp. Sumber Rejo,Pakal,Sumber Rejo,Rayon Tandes,16.9,9,90,100,25,50
71,Jl. Sememi,Benowo,Sememi,Rayon Tandes,0.45215,15,16,50,50,0
72,Romokali Sari (Bawah Jembatan Tol),Benowo,Romokalisari,Rayon Tandes,0.256661,10,13,50,25,0
73,Klampis Semalang,Sukolilo,Klampis Ngasem,Rayon Jambangan,0.471683,9,16,50,25,0
74,Jl. Pakal,Benowo,Pakal,Rayon Tandes,11,15,16,100,50,0
75,Jl. Kendung,Benowo,Sememi,Rayon Tandes,0.544111,9,16,75,25,0
76,Jl. Ngemplak (Made Utara),Sambikerep,Made,Rayon Tandes,0.512739,15,16,75,50,0
77,Jl. Darmo Indah Barat II,Sukomanunggal,Tanjungsari,Rayon Tandes,0.26614,15,16,50,50,0
78,Jl. Jawar,Sukomanunggal,Simomulyo,Rayon Tandes,1.959238,25,16,100,50,0
79,"Kp. Simo Mulyo, Jl. Gumuk Bogo",Sukomanunggal,Simomulyo,Rayon Tandes,17.9,4,16,100,0,0
80,"Kp. Simo Mulyo, Jl. Kali Kundang",Sukomanunggal,Simomulyo,Rayon Tandes,17.9,10,16,100,25,0
81,Jl. Simo Katrungan V & VI,Sawahan,Banyuurip,Rayon Tandes,0.141395,4,16,50,0,0
82,Jl. Raya Lontar,Sambikerep,Lontar,Rayon Tandes,0.212273,25,40,50,50,25
83,Kp. Manyar Rejo,Sukolilo,Menur Pumougan,Rayon Jambangan,0.36674,9,40,50,25,25
84,Perumahan Kutisari Indah,Tenggilis Mejoyo,Kutisari,Rayon Jambangan,0.917751,4,58,75,0,25
85,Medokan Semampir,Rungkut,Medokan Ayu,Rayon Jambangan,9.3,4,16,100,0,0
86,Perumahan Wisma Menanggal,Gayungan,Dukuh Menanggal,Rayon Jambangan,2.32739,4,16,100,0,0
87,Gayungsari Barat V,Gayungan,Dukuh Menanggal,Rayon Jambangan,0.510791,9,40,75,25,25
88,Gayungsari Barat X,Gayungan,Dukuh Menanggal,Rayon Jambangan,0.565383,18,40,75,50,25
89,Gayungsari Barat,Gayungan,Dukuh Menanggal,Rayon Jambangan,0.375385,9,26,50,25,0
90,"Jl. Gayungan I,II dan sekitarnya",Gayungan,Dukuh Menanggal,Rayon Jambangan,0.257308,4,40,50,0,25
91,Ketintang Baru,Gayungan,Dukuh Menanggal,Rayon Jambangan,0.580002,4,16,75,0,0
92,Jl. Kedungasem,Rungkut,Kedung Baruk,Rayon Jambangan,0.835831,4,16,75,0,0
93,Jl. Raya Medokan Ayu,Rungkut,Medokan Ayu,Rayon Jambangan,0.155418,4,16,50,0,0
